,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,totalGames,winRate,masteryRatio,mostPlayedID
114,IRON,I,eaxGsqQaV7s52rNFDFqBLJvmESrTx_U35VblPSJno3b1kkRE,TheKingVersace,39,29,36,65,44.61538461538462,1.4694366759888133,50.0
115,IRON,I,YIy2mhyG3-w8Uclk8g4v7livfCPhdI7_uxIYhJEUK3vRUOe4,aigiygofybls,75,5,6,11,45.45454545454545,1.032888986013986,555.0
116,IRON,I,L5ng1xzOVzKwpTV4wTHK_oANeJx6sVyn79a2BbhDa5645A-A,Boqueefious,100,10,13,23,43.47826086956522,1.2803987554765381,80.0
117,IRON,I,PSm_2Ew0ucJKwqOtMJ-CamvN0HmZjthspHkEb2WJ1BIyF9ut,UndoneTunaSub,56,3,7,10,30.0,1.02282281491623,203.0
118,IRON,I,M6mOmTSOyG2GUnDyvhPf2vlSVlSMp69xH7338Mv0mzg5hy-0,Void Spaceman,72,6,4,10,60.0,1.4138563342103165,99.0
119,IRON,I,IqRiWFBte3wHQVSk5Owm-MEKCoupEtCW_T3lmKb53fr7T2ie,Trisbit,76,20,10,30,66.66666666666666,1.736711079943899,84.0
120,IRON,I,Zc84vT4Vj9YOZcZTZgx6iyW3bcTs4g2AerqqAk2GOMeF4WG0,BEARCOMMANDER66,72,9,7,16,56.25,4.0480167014613775,517.0
121,IRON,I,C5oOnG66HXa_J7yod6jayOwHgN-srWHmaYwpNL4Utv5kz825,Mozzicle,61,3,7,10,30.0,2.8572475719259667,99.0
122,IRON,I,sMEdLrICkkWh-nmDzwNjbBrt-JcKnLkwDHVxsVKNGjaEFuRr,joelry,77,12,11,23,52.17391304347826,1.3503771506059836,240.0
123,IRON,I,uUs2_nLbND_XmHJpOUu4Rtxx1qsw_Zis1RyMRdoFCY91HuI5,Katsketch ,38,28,46,74,37.83783783783784,2.2305267233273725,267.0
124,IRON,I,vzN33dCwCkz9XgHn89ToljrBAT1nghWxERiRqJldDeAk8BWW,Loreiwnl,100,8,7,15,53.333333333333336,2.07526543227542,202.0
125,IRON,I,8aecCov5e8H2ssdeLb5v_5vk_0nwTPHZptMjNN2IJ-Khom6o,EbicLibtard,20,5,7,12,41.66666666666667,1.383631573169393,56.0
126,IRON,I,JNpRHNolimYDTx-VONMS-oFoEmsqc-twdyr9OVg7newS2OLE,bendersgame2,40,27,29,56,48.214285714285715,1.7765585361094014,105.0
