,championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId,tier
3103,266,5,26175,1583280941000,4575,0,True,0,Ks2wojoW9dDxeqUDLx4mtcTA___ZXOh-v6lIBbS7IwPOVdnL,BRONZE
3104,24,6,25072,1583643008000,3472,0,True,0,Ks2wojoW9dDxeqUDLx4mtcTA___ZXOh-v6lIBbS7IwPOVdnL,BRONZE
3105,497,7,71743,1583464982000,50143,0,True,0,XouP2zb2X6ZQ2b1EuJMY-BwHPLbrSRBpZOzlQmJNy6bm2Qp7,BRONZE
3106,555,7,67880,1583613676000,46280,0,True,0,XouP2zb2X6ZQ2b1EuJMY-BwHPLbrSRBpZOzlQmJNy6bm2Qp7,BRONZE
3107,11,6,39457,1583467551000,17857,0,True,0,XouP2zb2X6ZQ2b1EuJMY-BwHPLbrSRBpZOzlQmJNy6bm2Qp7,BRONZE
3108,122,6,60350,1583488252000,38750,0,True,3,yJRBNI_x3GmLWyEfgk1rPX2CByra23x223u0mUCsSZUYnno0,BRONZE
3109,56,5,29379,1576955143000,7779,0,False,1,yJRBNI_x3GmLWyEfgk1rPX2CByra23x223u0mUCsSZUYnno0,BRONZE
3110,53,4,19114,1582754832000,6514,2486,True,0,yJRBNI_x3GmLWyEfgk1rPX2CByra23x223u0mUCsSZUYnno0,BRONZE
3111,45,4,15974,1580349668000,3374,5626,False,0,MpzcoVijI9M0H57mB_JNJdgVyJgAcA7rQ6gVSkmEDXSvYfR0,BRONZE
3112,51,3,8083,1582938870000,2083,4517,False,0,MpzcoVijI9M0H57mB_JNJdgVyJgAcA7rQ6gVSkmEDXSvYfR0,BRONZE
3113,17,2,5881,1579794607000,4081,119,True,0,MpzcoVijI9M0H57mB_JNJdgVyJgAcA7rQ6gVSkmEDXSvYfR0,BRONZE
3114,51,5,36740,1579241189000,15140,0,False,2,lE27UluAQ755btz5Z8LEZO9yN1YTT2DYquHsIBMKqXSzTKHL,BRONZE
3115,18,4,13861,1578883468000,1261,7739,True,0,lE27UluAQ755btz5Z8LEZO9yN1YTT2DYquHsIBMKqXSzTKHL,BRONZE
3116,126,3,9971,1575166112000,3971,2629,False,0,lE27UluAQ755btz5Z8LEZO9yN1YTT2DYquHsIBMKqXSzTKHL,BRONZE
